date,location,Dnt_item_name,quantity_sold,sale_price,Donut_Sales,Drink_Item,Drink_Units_Sold,Drink_Price,Drink_Sales,Total_Sales,promotion,Customer_Rating,Payment_Method,time_of_day,quantity_made,waste
1/3/2024,Los Angeles,Glazed,44,2.89,127.16,Latte,39,3.5,136.5,263.66,No,3.7,Credit Card,Afternoon,54,10
3/10/2024,Miami,Chocolate Frosted,73,1.32,96.36,Espresso,9,2.75,24.75,121.11,Yes,3.3,Mobile Payment,Evening,93,20
3/12/2024,Miami,Old Fashioned,34,3.07,104.38,Cappuccino,18,3.25,58.5,162.88,Yes,3.1,Mobile Payment,Afternoon,43,9
1/27/2024,Miami,Strawberry Frosted,33,2.96,97.68,Espresso,2,2.75,5.5,103.18,No,4.3,Credit Card,Morning,43,10
1/9/2024,Miami,Boston Kreme,21,2.77,58.17,Iced Tea,23,2,46,104.17,No,4.3,Mobile Payment,Morning,26,5
3/2/2024,Miami,Glazed,27,1.09,29.43,Hot Coffee,4,2,8,37.43,No,3.7,Cash,Afternoon,30,3
2/6/2024,Chicago,Vanilla Frosted,24,1.76,42.24,Latte,2,3.5,7,49.24,No,3.1,Cash,Evening,27,3
4/6/2024,Los Angeles,Blueberry Cake,89,1.66,147.74,Iced Tea,26,2,52,199.74,No,3.8,Cash,Morning,118,29
2/20/2024,Miami,Blueberry Cake,36,1.9,68.4,Hot Coffee,15,2,30,98.4,Yes,3.6,Mobile Payment,Evening,43,7
2/13/2024,Los Angeles,Strawberry Frosted,81,1.22,98.82,Hot Coffee,48,2,96,194.82,No,4.4,Cash,Afternoon,89,8
1/24/2024,Chicago,Cinnamon,69,3.34,230.46,Hot Chocolate,14,2.25,31.5,261.96,Yes,4.2,Mobile Payment,Evening,77,8
3/19/2024,Chicago,Cinnamon,55,2.38,130.9,Iced Coffee,34,2.5,85,215.9,Yes,3.7,Cash,Morning,70,15
2/28/2024,Los Angeles,Strawberry Frosted,98,1.76,172.48,Hot Chocolate,11,2.25,24.75,197.23,No,3.4,Credit Card,Evening,107,9
2/1/2024,New York,Chocolate Frosted,26,1.99,51.74,Latte,40,3.5,140,191.74,No,5,Mobile Payment,Evening,29,3
4/5/2024,Boston,Glazed,62,2.12,131.44,Hot Coffee,43,2,86,217.44,No,3.9,Mobile Payment,Afternoon,75,13
3/28/2024,New York,Blueberry Cake,17,2.5,42.5,Smoothie,25,3.75,93.75,136.25,Yes,4.4,Cash,Afternoon,21,4
2/21/2024,New York,Blueberry Cake,88,2.29,201.52,Iced Tea,46,2,92,293.52,No,3.3,Mobile Payment,Afternoon,108,20
3/2/2024,New York,Chocolate Frosted,36,3.3,118.8,Cappuccino,33,3.25,107.25,226.05,No,4,Mobile Payment,Morning,43,7
2/27/2024,Miami,Blueberry Cake,55,2.24,123.2,Hot Coffee,22,2,44,167.2,No,3.1,Credit Card,Morning,71,16
2/21/2024,Chicago,Vanilla Frosted,59,3.48,205.32,Iced Tea,30,2,60,265.32,No,4,Credit Card,Afternoon,67,8
1/12/2024,New York,Glazed,80,3.13,250.4,Smoothie,49,3.75,183.75,434.15,No,4.9,Cash,Afternoon,93,13
2/8/2024,Chicago,Powdered Sugar,12,1.52,18.24,Cappuccino,19,3.25,61.75,79.99,Yes,3.8,Credit Card,Morning,15,3
1/2/2024,Los Angeles,Blueberry Cake,73,3.33,243.09,Hot Chocolate,11,2.25,24.75,267.84,Yes,3.1,Cash,Morning,93,20
1/3/2024,Boston,Strawberry Frosted,53,1.29,68.37,Hot Chocolate,22,2.25,49.5,117.87,Yes,3.1,Cash,Morning,69,16
2/25/2024,Los Angeles,Vanilla Frosted,62,3.04,188.48,Iced Coffee,3,2.5,7.5,195.98,No,3.8,Cash,Morning,79,17
3/21/2024,Los Angeles,Blueberry Cake,33,1.95,64.35,Iced Tea,22,2,44,108.35,No,3.3,Mobile Payment,Afternoon,40,7
2/28/2024,Miami,Vanilla Frosted,69,3.19,220.11,Hot Coffee,47,2,94,314.11,No,3,Credit Card,Morning,80,11
1/2/2024,Boston,Old Fashioned,12,3.17,38.04,Espresso,47,2.75,129.25,167.29,Yes,4.5,Cash,Afternoon,14,2
1/2/2024,Los Angeles,Powdered Sugar,29,3.01,87.29,Hot Chocolate,0,2.25,0,87.29,No,3.9,Credit Card,Evening,33,4
4/1/2024,Los Angeles,Jelly,55,2.98,163.9,Hot Chocolate,24,2.25,54,217.9,No,3.6,Cash,Evening,63,8
2/23/2024,Boston,Strawberry Frosted,24,1.76,42.24,Iced Coffee,1,2.5,2.5,44.74,No,4.8,Credit Card,Morning,32,8
3/27/2024,Boston,Strawberry Frosted,34,1.2,40.8,Cappuccino,29,3.25,94.25,135.05,Yes,3.2,Credit Card,Evening,40,6
4/5/2024,Los Angeles,Glazed,87,2.01,174.87,Iced Coffee,2,2.5,5,179.87,No,4.9,Cash,Evening,111,24
4/6/2024,Boston,Vanilla Frosted,80,1.43,114.4,Smoothie,20,3.75,75,189.4,Yes,3.6,Mobile Payment,Evening,98,18
1/1/2024,Los Angeles,Chocolate Frosted,26,2.74,71.24,Hot Coffee,24,2,48,119.24,No,4.8,Credit Card,Morning,34,8
1/19/2024,Los Angeles,Strawberry Frosted,93,1.87,173.91,Iced Tea,19,2,38,211.91,Yes,4.2,Mobile Payment,Morning,116,23
1/2/2024,Miami,Vanilla Frosted,18,3.44,61.92,Latte,48,3.5,168,229.92,Yes,4.7,Mobile Payment,Evening,21,3
2/22/2024,New York,Vanilla Frosted,47,2.6,122.2,Latte,21,3.5,73.5,195.7,Yes,5,Cash,Afternoon,56,9
2/13/2024,Los Angeles,Boston Kreme,57,3.06,174.42,Iced Tea,20,2,40,214.42,No,3.6,Cash,Evening,64,7
3/30/2024,Chicago,Boston Kreme,69,1.33,91.77,Cappuccino,32,3.25,104,195.77,No,4.9,Cash,Morning,89,20
2/1/2024,New York,Jelly,72,3.16,227.52,Smoothie,37,3.75,138.75,366.27,Yes,3.8,Credit Card,Morning,86,14
3/10/2024,New York,Old Fashioned,95,3.31,314.45,Hot Chocolate,14,2.25,31.5,345.95,Yes,3.8,Cash,Morning,109,14
2/1/2024,New York,Jelly,11,2.22,24.42,Cappuccino,45,3.25,146.25,170.67,No,3.7,Cash,Evening,13,2
3/8/2024,Miami,Blueberry Cake,97,2.52,244.44,Hot Chocolate,14,2.25,31.5,275.94,No,4.1,Credit Card,Afternoon,110,13
2/24/2024,Los Angeles,Chocolate Frosted,81,2.91,235.71,Hot Chocolate,45,2.25,101.25,336.96,Yes,3.3,Credit Card,Morning,108,27
3/15/2024,Miami,Blueberry Cake,20,1.44,28.8,Latte,24,3.5,84,112.8,No,4.1,Cash,Morning,26,6
2/25/2024,Los Angeles,Cinnamon,73,2.26,164.98,Cappuccino,20,3.25,65,229.98,No,4.1,Cash,Evening,93,20
1/17/2024,Miami,Blueberry Cake,86,2,172,Smoothie,23,3.75,86.25,258.25,No,4.5,Cash,Afternoon,100,14
2/7/2024,Miami,Glazed,90,1.37,123.3,Iced Coffee,4,2.5,10,133.3,No,4.7,Cash,Evening,99,9
1/24/2024,Chicago,Blueberry Cake,81,1.92,155.52,Hot Chocolate,5,2.25,11.25,166.77,Yes,3.9,Mobile Payment,Morning,108,27
3/9/2024,Miami,Jelly,30,1.17,35.1,Espresso,48,2.75,132,167.1,No,3.6,Mobile Payment,Afternoon,35,5
4/7/2024,Boston,Strawberry Frosted,27,1.06,28.62,Espresso,42,2.75,115.5,144.12,No,3.5,Cash,Afternoon,34,7
3/10/2024,Chicago,Strawberry Frosted,73,1.34,97.82,Iced Coffee,47,2.5,117.5,215.32,Yes,3.4,Mobile Payment,Morning,98,25
3/26/2024,Miami,Boston Kreme,91,3.41,310.31,Espresso,43,2.75,118.25,428.56,Yes,3.1,Credit Card,Afternoon,115,24
1/11/2024,New York,Chocolate Frosted,47,2.37,111.39,Hot Coffee,46,2,92,203.39,No,3.7,Mobile Payment,Afternoon,54,7
1/16/2024,Boston,Chocolate Frosted,41,3.41,139.81,Hot Chocolate,22,2.25,49.5,189.31,No,3.5,Mobile Payment,Evening,48,7
4/6/2024,Boston,Glazed,20,2.08,41.6,Iced Coffee,3,2.5,7.5,49.1,No,4.9,Cash,Morning,26,6
3/13/2024,Boston,Jelly,54,1.78,96.12,Cappuccino,26,3.25,84.5,180.62,No,4.1,Mobile Payment,Morning,65,11
2/28/2024,Chicago,Boston Kreme,98,2.27,222.46,Hot Chocolate,17,2.25,38.25,260.71,Yes,3.7,Mobile Payment,Morning,116,18
3/10/2024,Miami,Cinnamon,42,2.1,88.2,Iced Coffee,20,2.5,50,138.2,Yes,4.2,Mobile Payment,Morning,52,10
3/20/2024,Miami,Chocolate Frosted,50,1.26,63,Latte,27,3.5,94.5,157.5,Yes,3.3,Mobile Payment,Morning,66,16
4/2/2024,New York,Strawberry Frosted,17,2.6,44.2,Smoothie,34,3.75,127.5,171.7,No,3.9,Credit Card,Afternoon,21,4
1/3/2024,New York,Blueberry Cake,20,1.54,30.8,Cappuccino,21,3.25,68.25,99.05,No,4.3,Cash,Evening,24,4
1/20/2024,Boston,Blueberry Cake,95,2.55,242.25,Smoothie,39,3.75,146.25,388.5,No,4,Cash,Morning,111,16
2/28/2024,New York,Boston Kreme,60,2.63,157.8,Latte,22,3.5,77,234.8,No,3.8,Credit Card,Evening,73,13
2/5/2024,Chicago,Jelly,97,1.38,133.86,Hot Chocolate,2,2.25,4.5,138.36,Yes,5,Mobile Payment,Evening,125,28
1/19/2024,Miami,Jelly,50,1.15,57.5,Cappuccino,39,3.25,126.75,184.25,Yes,4.8,Credit Card,Afternoon,56,6
3/30/2024,Boston,Old Fashioned,26,2.95,76.7,Smoothie,49,3.75,183.75,260.45,No,4.2,Mobile Payment,Morning,32,6
3/7/2024,New York,Powdered Sugar,85,2.15,182.75,Espresso,9,2.75,24.75,207.5,Yes,4.1,Credit Card,Afternoon,108,23
1/19/2024,Chicago,Chocolate Frosted,55,1.15,63.25,Smoothie,24,3.75,90,153.25,No,4.2,Cash,Morning,71,16
1/20/2024,Chicago,Jelly,41,3.49,143.09,Iced Coffee,48,2.5,120,263.09,No,3.4,Cash,Afternoon,50,9
4/5/2024,New York,Strawberry Frosted,88,1.14,100.32,Hot Chocolate,7,2.25,15.75,116.07,Yes,3.8,Cash,Evening,109,21
3/11/2024,Miami,Boston Kreme,89,2.74,243.86,Hot Coffee,10,2,20,263.86,No,3.1,Mobile Payment,Morning,108,19
2/21/2024,New York,Cinnamon,63,3.46,217.98,Smoothie,4,3.75,15,232.98,No,4,Mobile Payment,Evening,72,9
2/2/2024,Boston,Old Fashioned,95,1.6,152,Cappuccino,44,3.25,143,295,Yes,4.1,Credit Card,Evening,119,24
2/9/2024,New York,Vanilla Frosted,29,1.36,39.44,Cappuccino,36,3.25,117,156.44,No,3.5,Credit Card,Afternoon,36,7
2/8/2024,Chicago,Glazed,42,1.3,54.6,Iced Tea,44,2,88,142.6,No,4.9,Cash,Morning,55,13
3/22/2024,New York,Cinnamon,83,1.76,146.08,Smoothie,37,3.75,138.75,284.83,Yes,4.8,Mobile Payment,Evening,106,23
1/1/2024,Miami,Vanilla Frosted,49,1.25,61.25,Hot Chocolate,28,2.25,63,124.25,No,4.4,Credit Card,Afternoon,58,9
1/11/2024,Los Angeles,Blueberry Cake,41,2.73,111.93,Hot Chocolate,4,2.25,9,120.93,Yes,4.1,Mobile Payment,Morning,51,10
4/1/2024,New York,Glazed,11,1.16,12.76,Latte,8,3.5,28,40.76,No,4.7,Mobile Payment,Morning,14,3
2/26/2024,Miami,Chocolate Frosted,42,2.27,95.34,Iced Tea,47,2,94,189.34,Yes,3.3,Cash,Evening,51,9
3/29/2024,Miami,Strawberry Frosted,86,3.49,300.14,Smoothie,1,3.75,3.75,303.89,Yes,4.6,Cash,Morning,110,24
2/19/2024,Chicago,Glazed,39,3.03,118.17,Espresso,0,2.75,0,118.17,Yes,3.2,Mobile Payment,Evening,49,10
1/23/2024,Miami,Powdered Sugar,42,2.54,106.68,Latte,39,3.5,136.5,243.18,No,4.6,Mobile Payment,Morning,55,13
1/31/2024,Miami,Vanilla Frosted,86,1.77,152.22,Iced Tea,29,2,58,210.22,Yes,3.6,Mobile Payment,Afternoon,100,14
4/3/2024,Miami,Chocolate Frosted,35,2.56,89.6,Smoothie,10,3.75,37.5,127.1,Yes,4.8,Mobile Payment,Evening,41,6
2/11/2024,Miami,Powdered Sugar,31,2.32,71.92,Smoothie,27,3.75,101.25,173.17,Yes,4.9,Cash,Evening,34,3
4/8/2024,Boston,Blueberry Cake,75,2.07,155.25,Latte,43,3.5,150.5,305.75,Yes,3.3,Credit Card,Morning,94,19
1/7/2024,Boston,Powdered Sugar,47,1.33,62.51,Espresso,11,2.75,30.25,92.76,Yes,3.9,Cash,Morning,54,7
1/16/2024,Chicago,Old Fashioned,99,3.22,318.78,Iced Tea,38,2,76,394.78,No,5,Credit Card,Evening,118,19
3/30/2024,New York,Old Fashioned,55,2.12,116.6,Smoothie,25,3.75,93.75,210.35,No,4,Mobile Payment,Morning,69,14
2/29/2024,Miami,Boston Kreme,24,1.49,35.76,Smoothie,12,3.75,45,80.76,No,4.7,Credit Card,Afternoon,27,3
1/2/2024,New York,Cinnamon,53,1.92,101.76,Iced Tea,7,2,14,115.76,No,4.2,Cash,Morning,67,14
1/1/2024,New York,Cinnamon,58,2.04,118.32,Hot Coffee,27,2,54,172.32,No,3.8,Cash,Afternoon,64,6
2/17/2024,Chicago,Chocolate Frosted,84,3.07,257.88,Latte,29,3.5,101.5,359.38,No,3.6,Mobile Payment,Afternoon,93,9
1/12/2024,Miami,Blueberry Cake,70,2.83,198.1,Latte,8,3.5,28,226.1,No,3.4,Cash,Afternoon,88,18
3/9/2024,Miami,Jelly,76,2.92,221.92,Cappuccino,38,3.25,123.5,345.42,Yes,4.5,Mobile Payment,Afternoon,89,13
2/6/2024,Los Angeles,Old Fashioned,15,1.03,15.45,Espresso,30,2.75,82.5,97.95,No,3.8,Cash,Afternoon,16,1
2/1/2024,New York,Chocolate Frosted,18,2.04,36.72,Iced Coffee,20,2.5,50,86.72,Yes,4,Cash,Morning,22,4
1/9/2024,New York,Jelly,15,2.2,33,Hot Coffee,46,2,92,125,Yes,4,Mobile Payment,Afternoon,18,3
4/8/2024,Boston,Cinnamon,82,1.05,86.1,Iced Tea,33,2,66,152.1,No,4.2,Credit Card,Morning,97,15
1/19/2024,Los Angeles,Boston Kreme,41,1.65,67.65,Iced Tea,30,2,60,127.65,Yes,4.7,Cash,Afternoon,50,9
2/17/2024,Boston,Powdered Sugar,50,2.9,145,Iced Tea,24,2,48,193,Yes,5,Credit Card,Evening,55,5
3/20/2024,Boston,Old Fashioned,85,1.34,113.9,Hot Coffee,11,2,22,135.9,Yes,3.8,Cash,Afternoon,94,9
1/3/2024,Boston,Chocolate Frosted,17,2.34,39.78,Smoothie,0,3.75,0,39.78,Yes,4.7,Cash,Evening,20,3
1/20/2024,Chicago,Glazed,81,1.54,124.74,Iced Tea,21,2,42,166.74,No,4.5,Cash,Afternoon,97,16
1/24/2024,Chicago,Jelly,59,1.03,60.77,Iced Tea,39,2,78,138.77,No,4.1,Cash,Afternoon,72,13
2/23/2024,Boston,Powdered Sugar,71,1.6,113.6,Espresso,36,2.75,99,212.6,No,4.9,Credit Card,Afternoon,88,17
2/2/2024,Los Angeles,Old Fashioned,93,3.44,319.92,Hot Chocolate,46,2.25,103.5,423.42,No,3.4,Credit Card,Evening,120,27
1/24/2024,New York,Cinnamon,71,3,213,Hot Chocolate,0,2.25,0,213,No,3.2,Cash,Evening,85,14
3/15/2024,Los Angeles,Blueberry Cake,16,3.4,54.4,Cappuccino,0,3.25,0,54.4,No,4.7,Cash,Afternoon,18,2
3/12/2024,Miami,Jelly,84,2.22,186.48,Cappuccino,41,3.25,133.25,319.73,No,3.9,Credit Card,Morning,109,25
2/5/2024,Chicago,Cinnamon,93,1.27,118.11,Iced Tea,41,2,82,200.11,No,4.7,Mobile Payment,Afternoon,107,14
2/7/2024,New York,Old Fashioned,89,2.37,210.93,Espresso,20,2.75,55,265.93,No,4.8,Mobile Payment,Evening,105,16
3/24/2024,New York,Jelly,13,2.14,27.82,Iced Tea,14,2,28,55.82,No,3.1,Credit Card,Afternoon,14,1
4/8/2024,Miami,Powdered Sugar,15,3.11,46.65,Cappuccino,16,3.25,52,98.65,Yes,4.8,Cash,Evening,16,1
3/29/2024,Miami,Old Fashioned,67,1.25,83.75,Hot Coffee,21,2,42,125.75,No,3.9,Cash,Evening,86,19
4/8/2024,Boston,Vanilla Frosted,31,2.22,68.82,Hot Coffee,37,2,74,142.82,Yes,4,Mobile Payment,Evening,39,8
1/25/2024,Chicago,Chocolate Frosted,35,1.38,48.3,Smoothie,34,3.75,127.5,175.8,Yes,4.3,Mobile Payment,Afternoon,43,8
4/2/2024,Chicago,Powdered Sugar,12,1.81,21.72,Iced Coffee,44,2.5,110,131.72,Yes,4.9,Credit Card,Evening,14,2
1/18/2024,Los Angeles,Jelly,50,2.84,142,Hot Chocolate,15,2.25,33.75,175.75,Yes,3,Mobile Payment,Evening,56,6
3/22/2024,Boston,Blueberry Cake,69,2.19,151.11,Espresso,7,2.75,19.25,170.36,No,4,Credit Card,Afternoon,78,9
3/6/2024,Boston,Cinnamon,23,1.94,44.62,Latte,46,3.5,161,205.62,Yes,4.4,Mobile Payment,Evening,26,3
2/23/2024,Boston,Glazed,84,1.99,167.16,Hot Chocolate,16,2.25,36,203.16,No,4.4,Mobile Payment,Afternoon,101,17
2/4/2024,Boston,Cinnamon,91,2.15,195.65,Latte,16,3.5,56,251.65,No,4.4,Mobile Payment,Evening,113,22
3/20/2024,Chicago,Jelly,21,2.96,62.16,Iced Coffee,25,2.5,62.5,124.66,Yes,3.3,Cash,Morning,26,5
3/1/2024,Chicago,Cinnamon,96,3.23,310.08,Iced Coffee,12,2.5,30,340.08,No,3.6,Cash,Morning,115,19
2/10/2024,Boston,Chocolate Frosted,21,3.39,71.19,Iced Tea,16,2,32,103.19,Yes,3.7,Cash,Evening,27,6
4/9/2024,Los Angeles,Old Fashioned,22,2.97,65.34,Cappuccino,37,3.25,120.25,185.59,Yes,4.6,Mobile Payment,Morning,28,6
2/2/2024,New York,Glazed,34,1.79,60.86,Iced Coffee,16,2.5,40,100.86,No,3.6,Credit Card,Afternoon,41,7
3/8/2024,New York,Strawberry Frosted,54,2.72,146.88,Iced Coffee,47,2.5,117.5,264.38,No,3.4,Credit Card,Morning,68,14
2/2/2024,Los Angeles,Jelly,28,2.09,58.52,Latte,13,3.5,45.5,104.02,Yes,4.9,Credit Card,Evening,33,5
1/14/2024,Boston,Boston Kreme,64,1.64,104.96,Cappuccino,44,3.25,143,247.96,No,3,Credit Card,Evening,73,9
1/21/2024,Chicago,Strawberry Frosted,54,3.1,167.4,Iced Coffee,5,2.5,12.5,179.9,No,5,Cash,Afternoon,63,9
2/17/2024,New York,Cinnamon,17,1.1,18.7,Hot Chocolate,34,2.25,76.5,95.2,No,4.4,Cash,Evening,21,4
1/20/2024,Miami,Jelly,62,3.25,201.5,Smoothie,45,3.75,168.75,370.25,Yes,4.7,Mobile Payment,Afternoon,68,6
1/8/2024,Miami,Vanilla Frosted,64,2.15,137.6,Iced Coffee,13,2.5,32.5,170.1,Yes,3.6,Mobile Payment,Morning,75,11
1/7/2024,Los Angeles,Boston Kreme,41,2.59,106.19,Smoothie,46,3.75,172.5,278.69,No,3,Credit Card,Morning,47,6
3/7/2024,Boston,Glazed,60,2.65,159,Cappuccino,7,3.25,22.75,181.75,No,4.5,Cash,Afternoon,66,6
1/17/2024,New York,Blueberry Cake,53,3.24,171.72,Iced Tea,14,2,28,199.72,No,4.7,Credit Card,Afternoon,67,14
2/2/2024,Boston,Vanilla Frosted,91,2.59,235.69,Espresso,26,2.75,71.5,307.19,No,4.5,Mobile Payment,Evening,112,21
2/17/2024,New York,Strawberry Frosted,79,2.53,199.87,Cappuccino,12,3.25,39,238.87,No,3.3,Mobile Payment,Morning,98,19
3/16/2024,Los Angeles,Old Fashioned,27,1.17,31.59,Latte,48,3.5,168,199.59,Yes,4.5,Credit Card,Afternoon,30,3
2/28/2024,Los Angeles,Chocolate Frosted,92,2.3,211.6,Espresso,30,2.75,82.5,294.1,No,4.5,Mobile Payment,Morning,114,22
3/26/2024,Miami,Blueberry Cake,31,1.38,42.78,Hot Chocolate,34,2.25,76.5,119.28,Yes,4.3,Credit Card,Afternoon,37,6
1/22/2024,Boston,Vanilla Frosted,46,2.84,130.64,Hot Coffee,5,2,10,140.64,No,4.5,Cash,Morning,54,8
1/30/2024,Miami,Old Fashioned,65,2.28,148.2,Smoothie,4,3.75,15,163.2,Yes,4.7,Credit Card,Evening,77,12
2/7/2024,Boston,Old Fashioned,68,2.7,183.6,Smoothie,21,3.75,78.75,262.35,No,4.2,Cash,Morning,83,15
2/20/2024,Miami,Jelly,12,1.1,13.2,Smoothie,48,3.75,180,193.2,Yes,3.2,Cash,Morning,15,3
2/23/2024,Chicago,Vanilla Frosted,37,1.21,44.77,Cappuccino,22,3.25,71.5,116.27,No,4,Mobile Payment,Morning,47,10
1/8/2024,Chicago,Glazed,83,2.79,231.57,Smoothie,24,3.75,90,321.57,Yes,3.2,Mobile Payment,Morning,96,13
1/27/2024,Chicago,Cinnamon,44,1.18,51.92,Iced Tea,33,2,66,117.92,Yes,3.8,Mobile Payment,Morning,53,9
1/27/2024,Chicago,Boston Kreme,70,1.18,82.6,Smoothie,25,3.75,93.75,176.35,Yes,3.8,Credit Card,Evening,85,15
4/7/2024,New York,Boston Kreme,63,1.03,64.89,Latte,46,3.5,161,225.89,Yes,3.1,Credit Card,Afternoon,75,12
1/21/2024,Chicago,Strawberry Frosted,72,3.39,244.08,Hot Chocolate,4,2.25,9,253.08,Yes,3.7,Mobile Payment,Morning,95,23
1/30/2024,Los Angeles,Strawberry Frosted,88,2.84,249.92,Smoothie,25,3.75,93.75,343.67,Yes,3.2,Credit Card,Evening,108,20
4/6/2024,Los Angeles,Boston Kreme,16,1.88,30.08,Smoothie,19,3.75,71.25,101.33,No,4.6,Mobile Payment,Morning,18,2
1/28/2024,New York,Glazed,85,1.74,147.9,Espresso,5,2.75,13.75,161.65,Yes,4.9,Credit Card,Morning,98,13
3/4/2024,Chicago,Chocolate Frosted,58,1.87,108.46,Hot Chocolate,5,2.25,11.25,119.71,No,3.1,Cash,Afternoon,71,13
4/6/2024,Chicago,Powdered Sugar,94,2.94,276.36,Smoothie,49,3.75,183.75,460.11,No,4.9,Cash,Morning,108,14
3/9/2024,Chicago,Cinnamon,40,2.65,106,Cappuccino,17,3.25,55.25,161.25,No,4,Mobile Payment,Evening,48,8
3/1/2024,Miami,Chocolate Frosted,67,1.46,97.82,Iced Coffee,3,2.5,7.5,105.32,No,3.6,Credit Card,Evening,86,19
2/17/2024,Boston,Jelly,70,1.44,100.8,Iced Tea,16,2,32,132.8,No,3.2,Credit Card,Afternoon,85,15
1/19/2024,Miami,Powdered Sugar,33,1.25,41.25,Cappuccino,13,3.25,42.25,83.5,Yes,4,Cash,Morning,40,7
1/4/2024,Boston,Powdered Sugar,29,2.65,76.85,Hot Coffee,13,2,26,102.85,Yes,4.6,Cash,Evening,35,6
2/4/2024,Chicago,Vanilla Frosted,46,2.91,133.86,Cappuccino,12,3.25,39,172.86,Yes,4.4,Mobile Payment,Morning,57,11
3/4/2024,Chicago,Glazed,13,1.66,21.58,Espresso,6,2.75,16.5,38.08,No,3.1,Cash,Morning,16,3
2/18/2024,Miami,Glazed,29,1.05,30.45,Espresso,43,2.75,118.25,148.7,Yes,3.1,Mobile Payment,Morning,38,9
1/17/2024,Miami,Powdered Sugar,69,1.21,83.49,Smoothie,14,3.75,52.5,135.99,Yes,3.8,Cash,Afternoon,81,12
2/13/2024,Boston,Vanilla Frosted,33,3.42,112.86,Cappuccino,18,3.25,58.5,171.36,Yes,3.6,Cash,Morning,44,11
4/1/2024,Los Angeles,Cinnamon,59,1.74,102.66,Espresso,42,2.75,115.5,218.16,Yes,3.5,Credit Card,Evening,75,16
1/30/2024,Boston,Powdered Sugar,58,2.92,169.36,Iced Coffee,46,2.5,115,284.36,Yes,3.6,Cash,Morning,68,10
4/2/2024,Miami,Blueberry Cake,60,2.56,153.6,Hot Chocolate,43,2.25,96.75,250.35,No,4.6,Cash,Evening,66,6
2/15/2024,Miami,Strawberry Frosted,45,1.95,87.75,Cappuccino,34,3.25,110.5,198.25,Yes,4.9,Mobile Payment,Morning,52,7
1/6/2024,New York,Strawberry Frosted,75,1.51,113.25,Iced Tea,16,2,32,145.25,No,3.8,Cash,Evening,82,7
4/8/2024,Miami,Chocolate Frosted,88,1.3,114.4,Iced Coffee,34,2.5,85,199.4,No,4.8,Mobile Payment,Evening,98,10
2/6/2024,New York,Jelly,43,2.54,109.22,Smoothie,18,3.75,67.5,176.72,No,3.6,Cash,Morning,55,12
1/24/2024,Los Angeles,Strawberry Frosted,45,2.94,132.3,Hot Chocolate,19,2.25,42.75,175.05,No,4,Cash,Morning,52,7
4/2/2024,Boston,Old Fashioned,15,2.61,39.15,Iced Tea,35,2,70,109.15,No,3.5,Mobile Payment,Evening,17,2
2/15/2024,Boston,Chocolate Frosted,48,2.33,111.84,Smoothie,34,3.75,127.5,239.34,Yes,4.3,Credit Card,Afternoon,60,12
2/22/2024,New York,Strawberry Frosted,51,1.1,56.1,Iced Tea,31,2,62,118.1,Yes,5,Mobile Payment,Morning,58,7
4/4/2024,Boston,Jelly,67,3.42,229.14,Smoothie,47,3.75,176.25,405.39,Yes,4.2,Mobile Payment,Afternoon,84,17
4/8/2024,Miami,Glazed,21,3,63,Iced Tea,43,2,86,149,No,3.7,Mobile Payment,Morning,25,4
2/29/2024,Chicago,Glazed,12,1.73,20.76,Hot Chocolate,39,2.25,87.75,108.51,Yes,4.3,Credit Card,Morning,14,2
4/6/2024,New York,Cinnamon,27,3.45,93.15,Iced Coffee,23,2.5,57.5,150.65,Yes,3.2,Cash,Morning,34,7
3/3/2024,Boston,Powdered Sugar,49,2.5,122.5,Iced Tea,16,2,32,154.5,No,4.8,Mobile Payment,Morning,62,13
3/25/2024,New York,Blueberry Cake,30,2.46,73.8,Iced Tea,6,2,12,85.8,No,4,Mobile Payment,Afternoon,38,8
2/1/2024,New York,Glazed,24,2.87,68.88,Latte,42,3.5,147,215.88,No,3.9,Credit Card,Morning,31,7
3/27/2024,Chicago,Vanilla Frosted,35,3.03,106.05,Cappuccino,49,3.25,159.25,265.3,No,4.2,Mobile Payment,Evening,44,9
2/2/2024,Miami,Strawberry Frosted,17,2.64,44.88,Hot Chocolate,0,2.25,0,44.88,Yes,4.2,Cash,Evening,19,2
3/7/2024,New York,Vanilla Frosted,96,1.32,126.72,Smoothie,34,3.75,127.5,254.22,No,3.1,Credit Card,Afternoon,109,13
1/18/2024,Boston,Jelly,51,1.85,94.35,Hot Chocolate,31,2.25,69.75,164.1,No,4.4,Cash,Morning,66,15
1/25/2024,Los Angeles,Glazed,53,3.32,175.96,Espresso,35,2.75,96.25,272.21,Yes,3.5,Cash,Evening,66,13
4/4/2024,New York,Blueberry Cake,23,1.56,35.88,Smoothie,12,3.75,45,80.88,Yes,4.4,Credit Card,Afternoon,29,6
2/23/2024,New York,Jelly,87,1.93,167.91,Hot Chocolate,5,2.25,11.25,179.16,No,4.6,Mobile Payment,Morning,107,20
2/27/2024,Chicago,Old Fashioned,11,2.08,22.88,Iced Coffee,13,2.5,32.5,55.38,Yes,4.6,Cash,Evening,12,1
3/7/2024,Miami,Old Fashioned,46,2.1,96.6,Smoothie,36,3.75,135,231.6,No,4.1,Cash,Evening,57,11
